Player Name,Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,prediction
Pierre-Emerick Aubameyang,94,93,95,80,76,70,86,82,84,84,89,87,81,78,86,76,75,77,77,74,77,64,78,37,48,79,27,25,36,70,79,76,76,43,0,0,0,0,0,0,0
Emanuele Suagher,58,53,62,49,55,64,63,54,68,32,14,15,62,50,20,30,36,17,25,30,51,49,19,67,68,68,68,66,66,71,74,70,72,69,0,0,0,0,0,0,3
Mikel Vesga Arruti,51,49,52,65,56,41,67,74,68,60,52,56,77,61,40,57,68,74,56,28,74,75,60,66,71,55,58,74,70,74,50,75,79,67,0,0,0,0,0,0,2
Darragh Gibbons,52,50,54,32,48,37,43,32,44,26,24,20,41,23,36,33,29,30,22,27,32,28,27,49,46,51,47,52,50,60,54,50,67,54,0,0,0,0,0,0,3
Wylan Cyprien,78,77,78,79,80,75,70,80,79,75,69,74,82,79,60,53,77,76,74,82,78,75,78,74,76,67,74,77,68,79,80,83,78,78,0,0,0,0,0,0,2
James S�nchez,71,73,70,69,76,66,65,69,67,63,71,57,69,73,46,62,69,73,62,62,70,74,59,63,68,61,52,68,70,75,62,75,76,76,0,0,0,0,0,0,2
Tristan Dingom�,68,66,70,71,76,79,70,70,68,61,64,57,70,60,59,55,69,69,72,57,71,70,60,69,71,64,69,70,65,70,67,82,65,69,0,0,0,0,0,0,2
Ivan Runje,46,40,50,40,51,39,56,54,63,25,38,15,46,24,19,35,50,41,35,22,66,61,24,71,70,71,70,72,69,76,54,68,88,63,0,0,0,0,0,0,3
Yannik Nuxoll,49,55,44,33,36,57,41,33,39,25,21,23,35,15,26,36,28,33,23,29,28,25,29,54,47,54,54,57,55,64,71,40,81,48,0,0,0,0,0,0,3
Cerruti Siya,75,75,75,61,69,71,59,62,49,43,53,31,65,45,33,45,58,54,59,35,64,62,37,60,58,58,58,64,56,70,68,60,75,68,0,0,0,0,0,0,3
Sebastian Nachreiner,44,42,45,38,39,46,66,49,56,23,23,17,39,19,18,26,37,26,46,25,46,25,22,69,69,62,70,71,70,73,76,65,78,70,0,0,0,0,0,0,3
Johan Falkmar,69,70,69,50,58,57,53,50,46,34,52,31,36,35,32,33,51,48,48,31,57,54,41,56,49,54,57,59,57,65,62,67,68,56,0,0,0,0,0,0,3
Walker Zimmerman,57,51,61,50,43,38,66,63,62,50,48,52,57,40,49,56,52,37,39,38,67,66,33,69,70,78,68,67,62,80,78,73,83,82,0,0,0,0,0,0,3
Franck Rib�ry,79,80,79,89,86,92,84,89,85,77,81,77,75,72,81,79,83,86,81,81,85,74,84,31,34,42,32,25,26,58,34,60,61,51,0,0,0,0,0,0,0
Roberto Rom�n Triguero,69,68,69,68,71,79,69,69,64,45,48,43,59,36,36,44,66,58,77,42,70,67,40,71,74,62,67,74,76,66,78,69,63,69,0,0,0,0,0,0,2
Kyle Beckerman,40,39,40,65,59,68,68,70,70,62,59,52,77,68,59,69,64,63,45,58,74,68,62,69,69,59,70,70,68,72,62,72,71,75,0,0,0,0,0,0,2
Shuai Pei,70,71,70,49,60,63,45,52,40,28,56,26,28,25,22,34,42,33,46,56,46,36,32,55,46,56,58,56,60,62,60,48,70,61,0,0,0,0,0,0,3
Ignacio Tapia,55,56,55,38,40,55,51,44,47,30,28,30,37,21,29,42,36,34,30,28,44,33,30,56,61,53,57,54,56,64,71,64,66,55,0,0,0,0,0,0,3
Ruben Ligeon,89,86,91,68,86,77,62,65,54,46,62,40,63,46,39,31,59,56,65,28,63,52,69,61,67,58,59,60,64,50,90,70,33,58,0,0,0,0,0,0,2
Manuel Wintzheimer,66,65,67,58,71,68,50,58,47,62,55,67,63,56,52,55,41,40,29,33,53,31,38,26,20,57,22,27,17,63,68,63,68,51,0,0,0,0,0,0,0
Romain Basque,69,69,69,65,63,66,60,67,60,55,59,51,60,58,50,50,60,56,55,50,68,60,50,58,51,60,61,60,55,67,61,74,69,57,0,0,0,0,0,0,2
Dong Won Ji,71,68,74,72,70,66,71,71,72,69,69,69,73,68,60,66,62,72,54,62,64,54,67,43,49,78,38,40,20,71,78,69,73,69,0,0,0,0,0,0,0
Lucas Musculus,68,72,64,62,72,70,61,62,62,63,63,67,61,57,60,63,45,46,37,54,48,38,57,27,24,58,26,20,22,57,42,46,72,37,0,0,0,0,0,0,0
Jonathan Spector,62,58,65,63,69,65,69,68,68,53,55,50,57,56,42,51,61,53,57,52,68,63,55,70,73,67,72,69,64,73,88,74,72,72,0,0,0,0,0,0,2
Albert Gu�mundsson,76,77,75,70,68,72,53,73,70,59,53,63,57,52,56,65,64,72,59,55,66,62,62,33,29,39,25,39,43,65,63,68,68,53,0,0,0,0,0,0,0
�ngel Zald�var,79,79,79,69,76,66,59,72,61,69,70,68,73,64,62,83,61,58,60,45,64,60,65,43,35,71,38,43,47,69,66,73,77,43,0,0,0,0,0,0,0
Oriol Rosell Argerich,51,50,51,66,59,57,71,70,69,56,54,49,66,64,53,49,66,63,61,42,72,70,64,66,68,60,68,65,64,69,60,64,73,65,0,0,0,0,0,0,2
Jorge Samuel Fernandes,67,70,64,74,89,89,61,72,59,52,66,47,72,40,53,53,60,61,51,53,67,59,58,34,26,41,30,39,41,45,57,55,37,47,0,0,0,0,0,0,0
Jordan Shipley,62,64,60,59,63,63,52,59,57,53,47,49,57,60,48,57,63,55,70,69,64,60,72,49,53,45,37,57,55,55,57,40,60,59,0,0,0,0,0,0,2
Cristian Ganea,78,77,78,65,79,79,65,65,55,62,56,52,84,69,59,38,59,41,65,76,62,62,65,66,70,64,66,61,76,69,58,82,61,73,0,0,0,0,0,0,2
Bertrand Owundi Eko'o,57,64,52,38,47,46,62,41,43,24,22,21,34,20,27,31,38,33,22,25,50,47,28,61,57,59,62,63,62,72,76,59,77,74,0,0,0,0,0,0,3
Moussa Sissoko,75,70,78,75,67,58,75,78,73,73,77,69,86,70,64,60,75,68,76,75,78,75,76,65,77,71,43,73,72,85,78,86,88,78,0,0,0,0,0,0,2
Maximilian Schlegel,66,62,69,57,62,65,51,60,53,47,53,47,53,41,32,48,54,46,61,32,62,51,35,39,35,44,38,40,40,62,61,72,63,48,0,0,0,0,0,0,0
�arko Toma�evic,53,65,44,63,55,53,67,66,65,59,54,54,69,65,53,54,66,59,72,57,69,67,58,70,71,73,68,71,72,78,62,78,81,73,0,0,0,0,0,0,2
Ajay Leitch-Smith,78,79,77,61,79,76,60,60,61,59,67,61,58,56,51,51,52,58,49,24,55,48,55,36,27,57,44,30,26,63,79,73,62,49,0,0,0,0,0,0,0
Alin Tosca,71,72,71,59,67,61,67,62,60,45,54,46,44,42,43,41,60,54,61,34,69,61,39,67,69,66,60,69,74,64,57,56,70,62,0,0,0,0,0,0,3
Jason Hoffman,75,74,75,58,45,46,61,61,56,53,63,55,53,48,43,60,55,58,60,32,60,38,55,57,60,54,56,60,52,74,56,75,78,65,0,0,0,0,0,0,2
Alexander Munksgaard,74,72,76,62,72,61,64,63,50,41,41,42,48,34,40,40,57,49,63,31,60,59,58,61,61,62,59,63,59,69,66,72,73,55,0,0,0,0,0,0,3
Hardy Cavero,62,60,64,59,57,54,51,63,64,27,25,24,38,22,20,39,38,31,28,31,48,46,23,63,58,63,62,66,64,69,74,74,77,42,0,0,0,0,0,0,3
Salman Muwashar,90,91,90,71,91,88,62,68,55,66,70,63,72,66,64,70,62,59,66,66,61,58,74,30,26,39,24,34,30,70,76,80,67,63,0,0,0,0,0,0,0
Bobby Adekanye,74,75,73,64,68,74,50,64,55,56,52,58,63,48,55,52,52,49,54,44,56,46,49,30,21,49,25,35,30,58,53,56,64,45,0,0,0,0,0,0,0
Sultan Abdullah Al Ghannam,77,78,77,61,59,85,59,60,54,43,62,47,39,35,36,42,57,54,63,41,60,59,34,57,56,48,55,61,57,65,52,68,64,67,0,0,0,0,0,0,3
Chang Moo Shin,63,64,63,63,74,82,57,65,58,58,61,55,58,65,50,53,61,67,48,62,65,61,58,44,59,41,45,36,35,61,59,75,53,63,0,0,0,0,0,0,0
Arouna Kon�,76,75,76,73,73,61,71,75,74,73,71,75,78,68,71,67,62,66,61,56,67,49,57,37,28,71,30,43,26,70,78,75,76,47,0,0,0,0,0,0,0
Alexander Weidinger,0,22,23,0,29,38,40,18,25,0,6,7,22,6,8,10,0,24,13,12,23,23,13,0,12,10,14,13,11,0,54,21,60,22,51,49,54,22,56,56,1
Philipp Erhardt,48,60,39,60,64,58,49,65,62,41,44,33,55,50,29,38,53,46,48,30,61,59,48,59,63,66,55,59,56,70,78,70,68,71,0,0,0,0,0,0,3
Corentin Jacob,56,63,50,54,60,51,53,57,53,42,38,34,54,49,33,46,49,45,39,39,61,48,40,57,59,54,52,60,59,70,59,72,74,59,0,0,0,0,0,0,3
Matthias Lehmann,33,34,32,65,63,65,69,69,70,63,58,58,72,67,56,76,69,68,64,70,72,69,70,72,76,64,71,72,71,72,75,70,71,75,0,0,0,0,0,0,2
�rven �vila,76,77,76,74,82,87,71,74,60,73,74,76,74,65,70,82,48,37,36,66,57,46,66,33,33,65,41,19,20,57,54,65,56,50,0,0,0,0,0,0,0
Guillermo Soto,58,57,58,52,45,74,62,50,57,23,23,17,34,21,22,32,42,34,22,23,58,54,27,65,63,65,65,66,64,59,73,60,65,40,0,0,0,0,0,0,3
Sergio Ag�ero,85,89,80,90,86,92,90,90,91,90,93,94,88,82,85,83,77,84,70,72,82,63,83,29,24,76,31,20,12,74,82,77,74,65,0,0,0,0,0,0,0
Haruki Saruta,0,23,35,0,38,30,38,18,29,0,5,12,19,9,6,16,0,36,11,14,46,40,10,0,8,13,7,16,15,0,35,17,65,26,57,55,46,23,59,53,1
Lucas From,71,70,72,55,69,71,52,52,44,40,28,42,49,34,33,38,46,53,39,39,50,45,32,38,49,44,43,28,27,43,78,42,36,54,0,0,0,0,0,0,3
Yassine Meriah,67,68,66,60,61,58,68,62,61,49,38,34,68,63,46,66,49,37,31,32,65,68,25,71,70,64,74,72,67,67,76,62,68,67,0,0,0,0,0,0,3
Caleb Patterson-Sewell,0,36,38,0,40,34,54,29,44,0,13,18,23,12,20,14,0,45,12,14,34,27,19,0,13,19,12,13,9,0,59,36,81,30,65,66,60,36,67,65,1
Marcelino Moreno,79,81,77,74,84,83,66,70,68,63,65,62,71,57,60,74,64,64,66,51,67,60,58,41,35,46,42,45,33,52,70,67,44,48,0,0,0,0,0,0,0
Omar Abdulrahman,81,85,77,78,87,85,65,76,68,69,70,70,68,72,65,64,76,80,76,75,75,73,77,33,25,35,46,26,30,49,53,74,39,44,0,0,0,0,0,0,0
Bruno Miguel Santos Leite,71,73,70,67,74,65,63,66,59,50,57,45,58,55,48,44,62,63,54,43,67,64,62,60,66,42,60,62,62,65,48,78,65,53,0,0,0,0,0,0,2
Min Kyu Joo,63,64,63,60,68,68,62,57,61,61,64,63,67,52,61,50,51,59,33,32,61,54,35,46,61,59,21,58,39,70,70,78,70,62,0,0,0,0,0,0,0
Davit Khocholava,59,64,55,55,49,41,63,54,63,48,44,51,72,25,23,39,49,36,31,21,67,65,27,70,69,75,68,70,73,78,65,66,86,74,0,0,0,0,0,0,3
H�ctor Acosta,72,70,73,58,59,65,63,61,50,33,45,33,35,28,23,36,50,32,59,43,56,55,43,64,66,56,62,67,67,61,57,61,64,55,0,0,0,0,0,0,3
Marvin Zeegelaar,74,71,77,72,65,53,73,76,68,62,74,56,76,64,58,53,67,67,75,52,69,59,68,73,74,60,73,75,74,76,65,77,79,71,0,0,0,0,0,0,2
Karol Dybowski,0,16,18,0,38,35,37,18,45,0,8,10,26,8,12,12,0,53,15,17,35,31,14,0,10,10,19,15,17,0,55,32,61,29,56,58,59,16,62,54,1
Lucas Zelaray�n,76,78,75,77,91,76,69,75,61,67,69,64,73,65,69,67,74,78,71,75,73,72,74,45,44,50,50,43,35,62,80,72,59,50,0,0,0,0,0,0,0
Filip Kostic,88,89,87,80,77,72,76,80,77,68,74,64,77,69,68,64,69,72,79,75,64,59,79,30,32,48,23,24,43,72,66,74,74,65,0,0,0,0,0,0,0
Athanasios Androutsos,76,78,75,69,76,68,65,70,66,64,56,66,64,62,64,59,66,64,60,60,72,64,63,57,55,55,62,56,55,60,56,73,59,47,0,0,0,0,0,0,2
Makana Baku,90,92,89,67,90,83,62,63,56,47,62,46,50,42,45,45,50,49,56,39,51,41,53,24,15,30,26,28,20,58,67,80,53,42,0,0,0,0,0,0,0
Wojciech ?obodzi?ski,59,60,59,63,67,57,52,67,46,60,65,59,62,61,63,53,62,58,67,61,65,55,63,53,51,63,55,50,54,58,57,41,73,43,0,0,0,0,0,0,2
Michael O'Halloran,93,94,92,69,89,65,64,66,62,65,58,65,70,64,58,57,58,59,66,39,59,52,58,33,49,49,28,21,31,65,67,74,74,31,0,0,0,0,0,0,0
Nicolas Giani,53,53,53,47,43,64,61,49,60,38,51,31,42,42,32,55,34,20,31,32,42,42,31,70,69,67,69,71,70,73,74,60,80,71,0,0,0,0,0,0,3
Arnaud Balijon,0,34,36,0,43,42,55,18,54,0,9,10,19,11,10,13,0,27,10,9,26,24,12,0,15,14,12,12,13,0,51,30,59,23,63,67,59,34,68,69,1
Orestis Kiomourtzoglou,67,70,64,55,64,61,61,60,56,39,48,34,47,43,34,40,51,49,37,39,60,58,36,63,63,58,60,68,61,74,73,74,77,68,0,0,0,0,0,0,3
C�sar Valenzuela,74,73,75,69,82,84,59,65,53,56,61,58,55,55,37,53,69,70,65,48,76,77,37,22,13,34,22,22,24,32,34,34,33,25,0,0,0,0,0,0,0
Dennis Petersson,0,50,64,0,41,31,64,19,40,0,7,9,37,9,20,14,0,30,11,11,28,30,24,0,28,13,20,13,14,0,61,17,27,39,48,70,68,50,52,38,1
J�r�me Prior,0,48,55,0,35,51,65,22,58,0,15,16,20,17,17,14,0,40,13,16,35,37,16,0,25,14,10,13,12,0,61,30,78,40,73,73,69,48,74,69,1
Roberto Ram�rez,0,44,49,0,31,41,56,23,34,0,16,16,18,12,12,20,0,17,16,19,31,18,20,0,18,18,16,15,20,0,51,31,59,22,64,65,63,44,58,59,1
Ioannis Fetfatzidis,83,89,78,80,91,91,70,82,65,66,68,66,65,69,64,65,73,74,74,67,77,63,68,31,23,25,44,30,20,55,45,75,47,50,0,0,0,0,0,0,0
Oscar Linn�r,0,34,36,0,31,22,58,17,50,0,13,17,23,16,11,14,0,47,18,12,20,21,19,0,19,18,13,14,11,0,58,43,69,23,68,70,65,34,61,69,1
Sadiq Umar,70,66,74,66,58,38,63,66,63,65,65,72,62,57,59,60,52,55,43,41,60,41,56,28,19,70,37,14,19,65,66,64,79,30,0,0,0,0,0,0,0
Wei Wu,67,67,67,53,67,63,48,51,50,44,46,43,44,46,41,42,44,53,48,38,41,42,33,44,42,44,50,41,42,66,71,73,70,48,0,0,0,0,0,0,3
Haris Radetinac,59,56,62,71,74,56,64,70,73,59,64,60,59,58,54,50,65,70,67,56,65,61,64,45,30,34,58,47,40,66,29,60,74,62,0,0,0,0,0,0,0
Joshua Harrop,69,71,68,70,80,68,60,71,63,61,59,63,58,64,41,56,69,73,71,75,68,61,74,39,25,45,40,44,42,47,52,56,46,38,0,0,0,0,0,0,0
Lawson D'Ath,70,72,68,63,79,77,55,62,54,56,56,57,53,58,52,49,58,52,60,35,62,59,57,44,50,45,37,48,43,61,64,80,59,40,0,0,0,0,0,0,0
Marvin Mehlem,70,72,69,75,85,87,57,73,56,54,62,53,57,55,42,53,63,62,59,52,68,62,64,49,47,34,47,57,49,52,64,66,44,51,0,0,0,0,0,0,0
Sid Nelson,51,48,53,45,50,52,56,52,45,26,23,23,39,19,30,37,37,30,32,25,44,46,29,63,63,59,62,64,63,70,59,62,71,79,0,0,0,0,0,0,3
David Horst,39,32,45,40,45,29,64,49,47,22,27,21,23,21,13,35,47,45,38,30,61,37,39,63,62,64,64,64,61,77,67,58,90,70,0,0,0,0,0,0,3
Isa�as S�nchez Cortes,49,47,50,72,78,86,76,71,75,54,62,49,65,58,31,50,71,80,59,74,72,73,72,65,68,37,67,72,63,71,85,77,68,68,0,0,0,0,0,0,2
Rasmus Nicolaisen,61,58,63,44,47,53,45,49,46,35,25,35,45,31,29,36,41,32,35,32,51,45,36,53,52,58,47,59,54,65,73,63,69,56,0,0,0,0,0,0,3
Oliver Baumann,0,47,52,0,45,43,81,17,52,0,10,11,21,13,11,22,0,41,14,11,30,25,12,0,21,16,15,18,14,0,73,39,69,32,83,86,83,48,71,83,1
R�da Rabei,59,68,52,65,67,78,58,66,58,61,56,62,66,56,62,59,58,59,55,54,60,56,63,30,23,55,24,32,33,54,53,58,58,41,0,0,0,0,0,0,0
Tomasz Cywka,72,72,72,64,64,70,59,63,59,60,58,59,60,61,60,63,62,56,66,60,64,65,58,63,66,49,59,68,65,66,76,77,66,52,0,0,0,0,0,0,2
David F�llman,53,51,55,43,45,54,63,47,51,29,23,27,35,25,31,35,41,42,29,30,47,49,22,66,69,64,67,66,62,71,51,51,79,79,0,0,0,0,0,0,3
V�ctor D�vila,72,71,72,75,78,74,69,74,72,66,69,69,68,62,65,53,63,59,45,67,75,65,65,30,25,43,28,31,34,54,52,63,56,37,0,0,0,0,0,0,0
Alejandro Berganti�os Garc�a,47,51,43,62,63,69,72,65,65,46,54,36,60,51,46,58,63,68,49,50,70,67,59,73,77,61,75,75,67,76,78,81,75,72,0,0,0,0,0,0,2
Christian Ramos,65,59,70,51,59,56,57,54,68,44,35,34,62,59,29,31,48,40,43,35,58,51,37,70,70,68,67,74,69,71,68,62,75,73,0,0,0,0,0,0,3
Nordin Gerzic,51,59,44,69,68,85,67,71,72,51,45,43,57,61,49,60,70,71,65,74,70,72,76,56,60,34,61,58,47,67,64,65,66,75,0,0,0,0,0,0,2
Taishi Matsumoto,59,57,60,61,63,71,51,64,55,40,31,38,46,47,25,38,52,48,32,39,65,62,42,59,55,46,59,66,62,54,61,52,55,50,0,0,0,0,0,0,3
Thomas Tour�,73,71,75,71,73,73,69,70,69,66,71,64,67,68,68,66,70,72,69,68,72,63,74,43,46,67,37,42,35,67,70,69,64,69,0,0,0,0,0,0,0
Welinton Souza Silva,61,53,67,49,60,61,60,54,55,48,62,43,66,41,53,39,56,52,59,53,61,51,41,72,65,75,74,74,73,78,81,73,80,79,0,0,0,0,0,0,3
Yota Akimoto,0,47,41,0,40,38,61,20,30,0,15,18,17,16,18,12,0,59,11,13,28,27,11,0,25,14,15,11,12,0,55,44,65,25,68,63,67,47,62,63,1
Wellington Nascimento Carvalho,79,80,78,72,73,71,71,72,67,66,66,66,70,65,64,54,61,58,64,46,64,56,62,30,26,43,23,36,32,59,45,72,65,32,0,0,0,0,0,0,0
David Murillo,78,80,77,67,72,74,54,68,55,36,60,34,52,22,30,37,57,56,66,34,64,45,34,60,68,49,52,65,64,64,79,76,61,53,0,0,0,0,0,0,3
Yehya Al Shehri,70,71,70,71,80,72,60,69,69,62,66,57,69,65,59,61,70,70,69,63,73,67,69,34,43,46,22,34,42,56,32,71,53,50,0,0,0,0,0,0,0
Shuai Li,66,69,63,48,73,70,64,35,58,26,49,24,22,27,28,39,42,30,59,30,47,28,31,63,67,53,57,69,67,65,67,69,68,50,0,0,0,0,0,0,3
H�rdur Magn�sson,63,57,67,54,52,55,71,57,66,42,24,25,65,65,33,39,63,41,54,60,75,76,62,72,68,76,72,74,71,73,70,69,76,70,0,0,0,0,0,0,3
Marco Hingerl,64,66,63,60,69,69,56,63,46,52,51,49,60,54,45,44,57,58,51,39,62,59,48,49,55,47,47,50,46,54,57,53,51,60,0,0,0,0,0,0,0
Lautaro Comas,86,88,85,69,84,76,61,62,60,60,71,61,61,55,55,54,58,62,60,40,60,55,51,25,22,37,20,26,35,45,52,83,34,25,0,0,0,0,0,0,0
Joon Jae Nam,80,78,81,67,76,62,66,64,51,57,64,56,61,54,54,52,59,51,65,48,62,62,43,30,37,62,27,21,17,69,81,74,68,61,0,0,0,0,0,0,0
Evan Bush,0,49,49,0,42,28,62,15,49,0,18,19,23,15,11,22,0,50,16,18,32,32,13,0,20,20,18,11,15,0,69,44,73,45,72,72,64,49,62,67,1
Patrick van Aanholt,89,88,89,74,77,77,71,72,65,66,74,64,74,66,57,46,68,67,64,66,71,74,58,72,69,60,72,75,76,71,90,79,63,75,0,0,0,0,0,0,2
James Bailey,66,65,67,64,70,66,62,64,63,53,52,51,59,58,40,50,60,63,54,40,64,62,50,61,60,61,60,62,61,69,58,76,67,66,0,0,0,0,0,0,2
Ian Escobar,85,84,86,59,75,79,66,50,45,32,44,28,35,33,26,44,51,40,60,36,56,51,47,57,61,43,45,66,68,54,85,57,48,59,0,0,0,0,0,0,3
Chan Hee Han,69,70,69,71,75,71,70,71,67,66,68,66,66,71,67,50,69,73,66,58,71,70,67,48,56,60,45,44,45,69,51,82,66,66,0,0,0,0,0,0,2
Sikou Niakat�,68,66,69,41,53,69,58,44,52,29,32,25,36,25,28,41,40,35,33,26,49,45,29,64,63,66,66,64,62,70,70,72,69,69,0,0,0,0,0,0,3
Vincent Kompany,57,52,60,67,57,41,88,71,82,55,41,45,76,56,46,64,66,59,61,52,74,67,61,86,82,84,88,86,84,82,72,66,88,88,0,0,0,0,0,0,2
Pablo Chavarr�a,71,68,74,72,72,71,72,73,64,70,73,73,72,65,61,63,69,70,68,58,74,62,57,36,28,68,24,37,48,74,78,79,73,68,0,0,0,0,0,0,0
Carlos Filipe Fonseca Chaby,74,77,72,76,82,79,74,74,71,58,66,53,70,60,56,48,65,72,66,65,65,54,73,41,39,62,35,41,37,50,54,67,41,49,0,0,0,0,0,0,0
Jake Gleeson,0,37,42,0,36,41,62,17,50,0,12,16,22,20,12,13,0,45,12,11,33,33,20,0,15,19,12,11,11,0,59,28,66,35,65,67,65,37,64,67,1
Andrija Pavlovic,67,65,68,63,63,54,60,66,60,64,65,64,70,57,58,64,46,51,35,26,58,32,43,27,22,58,22,27,20,70,63,70,81,43,0,0,0,0,0,0,0
Gonzalo Ver�n,86,85,87,72,86,70,71,69,64,67,68,66,71,64,71,69,65,68,69,66,67,58,48,36,37,55,31,37,31,61,46,65,63,54,0,0,0,0,0,0,0
